OBJECTID,title,desc,date,datetime,link,img,media,site,reporter,processed,drowning,cause_of_drowning,city,state,beach,gender,age,month,day,year,drowning_datetime,time_of_occurrence,resident_or_tourist,city_of_residence,state_of_residence,summary,lat,lng,WFO,distance_from_wfo,multiple_drownings,extension_of_ref,duplicate_of_ref,model,approved,approved_by
10,10,,3/24/23,3/24/23,https://www.floridatoday.com/story/news/2023/03/26/apparent-drowning-claims-eighth-victim-along-brevard-beaches/70049969007/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,11,,4/6/23,4/6/23,https://www.news4jax.com/news/local/2023/04/06/1-person-rescued-from-st-augustine-beach-taken-to-hospital/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,12,,4/6/23,4/6/23,https://weartv.com/news/local/breaking-water-rescue-of-7-people-at-johnson-beach-in-perdido-key,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,13,,4/6/23,4/6/23,https://weartv.com/news/local/breaking-water-rescue-of-7-people-at-johnson-beach-in-perdido-key,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,14,,4/6/23,4/6/23,https://www.foxnews.com/us/georgia-preteen-drowns-pensacola-rip-tide-florida-spring-break-trip,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,15,,5/29/23,5/29/23,https://www.wesh.com/article/daytona-beach-swimmers-rescued/44041551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,16,,6/1/23,6/1/23,https://www.news-journalonline.com/story/news/local/volusia/2023/06/13/kentucky-man-who-died-in-volusia-was-guidance-counselor-coach/70302005007/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,17,,6/2/23,6/2/23,https://www.news-journalonline.com/story/news/local/volusia/2023/06/09/lakeland-man-died-saving-child-others-from-ocean-fiance-says/70299216007/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,18,,6/6/23,6/6/23,https://www.wfla.com/news/florida/ukrainian-refugee-drowns-while-saving-distressed-swimmers-off-florida-coast/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,19,,6/15/23,6/15/23,https://www.wsaz.com/2023/06/17/true-hero-retired-firefighter-dies-while-saving-swimmers-caught-rip-current/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,20,,6/18/23,6/18/23,https://www.newsherald.com/story/news/local/2023/06/20/alabama-man-drowns-while-trying-to-save-daughter-in-panama-city-beach/70337487007/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,21,,6/21/23,6/21/23,https://www.newsherald.com/story/news/local/2023/06/22/bay-county-logs-its-third-drowning-in-the-gulf-of-mexico-within-a-week/70347948007/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,22,,6/22/23,6/22/23,https://www.newsherald.com/story/news/local/2023/06/20/alabama-man-drowns-while-trying-to-save-daughter-in-panama-city-beach/70337487007/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,23,,6/22/23,6/22/23,https://1819news.com/news/item/georgia-man-drowns-in-gulf-shores-while-trying-to-save-son,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,24,,6/23/23,6/23/23,https://www.fox10tv.com/2023/06/23/1-dead-others-taken-hospital-following-water-rescues-fort-morgan/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,25,,7/2/23,7/2/23,https://www.wesh.com/article/cocoa-beach-drowning/44417952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,26,,7/1/23,7/1/23,https://www.firstcoastnews.com/article/news/local/beaches/man-dies-trying-to-save-son-from-rip-current-miklers-landing/77-5eda4b49-0981-4c3e-ab63-00490ab6735c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,27,,7/24/23,7/24/23,https://www.al.com/news/2023/07/woman-drowns-off-panama-city-beach-as-deadly-rip-currents-return-sheriff-says.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,28,,8/2/23,8/2/23,https://www.pnj.com/story/news/local/pensacola/2023/08/03/nas-pensacola-drowning-victims-determined-to-be-family-of-u-s-marine/70521601007/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,29,,9/13/23,9/13/23,https://www.elnuevodia.com/noticias/seguridad/notas/muere-ahogado-hombre-de-65-anos-en-la-playa-poza-del-obispo-en-arecibo/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,30,,9/13/23,9/13/23,https://www.actionnewsjax.com/news/local/nassau-county/law-enforcement-coast-guard-search-body-missing-georgia-teen-caught-rip-current/4EY3ZRZD3ZGY7J2HZUASUUP6CQ/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,31,,11/6/23,11/6/23,https://www.wptv.com/news/region-martin-county/jensen-beach/missing-martin-county-teen-was-soccer-player-youth-coach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,32,,4/1/23,4/1/23,https://www.wect.com/2023/04/02/rescue-teams-searching-coastline-after-teen-disappears-water-near-fort-fisher-recreation-area/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,33,,5/6/23,5/6/23,https://www.wdel.com/news/maryland-drowning-victim-was-a-ud-student/article_11785bfe-ee7a-11ed-9a54-3b38e8a9268b.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,34,,5/29/23,5/29/23,https://www.nbcnews.com/news/us-news/boy-15-drowns-5-others-rescued-new-jersey-beach-rcna86645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,35,,6/6/23,6/6/23,https://www.wmbfnews.com/2023/06/06/16-year-old-drowned-huntington-beach-state-park-coroner-confirms/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,36,,6/17/23,6/17/23,https://www.starnewsonline.com/story/news/local/2023/06/21/man-caught-in-rip-current-dies-in-pender-county/70342838007/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,37,,6/20/23,6/20/23,https://www.myrtlebeachonline.com/news/local/article277019893.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,38,,6/21/23,6/21/23,https://wpde.com/news/local/70-year-old-man-dies-after-beach-drowning-near-pawleys-island-shell-road,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,39,,7/1/23,7/1/23,https://www.wect.com/2023/07/02/man-dies-drowning-while-trying-save-children-fort-fisher/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,40,,7/12/23,7/12/23,https://www.wect.com/2023/07/12/person-found-dead-water-surf-city-officials-believe-drowning-may-be-cause/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,41,,7/27/23,7/27/23,https://www.seacoastonline.com/story/news/local/2023/08/15/massachusetts-man-dies-rip-current-hampton-beach-nh/70597061007/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,42,,7/19/23,7/19/23,https://wpde.com/news/local/sanford-florida-man-identified-north-myrtle-beach-drowning-victim-michael-letzkus-cherry-grove-asphyxiation-seacoast-hospital-unresponsive-aed-cpr-south-carolina-july-19-22-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,43,,7/27/23,7/27/23,https://turnto10.com/news/local/westerly-police-launch-search-for-missing-17-year-old-swimmer-at-dunes-park-beach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,44,,7/27/23,7/27/23,https://www.cbsnews.com/newyork/news/body-of-missing-15-year-old-swimmer-found-at-coney-island-beach/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,45,,7/28/23,7/28/23,https://abc7ny.com/nyc-missing-swimmer-queens-jacob-riis-park/13567911/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,46,,8/29/23,8/29/23,https://www.witn.com/2023/08/29/vacationer-dies-after-apparent-drowning-surf-city/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,47,,8/31/23,8/31/23,https://www.wmbfnews.com/2023/09/01/body-38-year-old-swimmer-found-north-myrtle-beach-after-hours-long-search/?utm_source=twitter&utm_medium=social&utm_campaign=snd&utm_content=wmbf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,48,,9/3/23,9/3/23,https://www.thesandpaper.net/articles/young-man-drowns-in-ocean-off-beach-haven/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,49,,9/3/23,9/3/23,https://www.islandpacket.com/news/local/crime/article279063539.html  and https://news.yahoo.com/ga-man-drowning-hilton-head-123629476.html?guccounter=1&guce_referrer=aHR0cHM6Ly93d3cuZ29vZ2xlLmNvbS8&guce_referrer_sig=AQAAAKmcLgSE_F6MaWXF-Ig0DkKRnx76QN061NvKaTN7XhmgJjYIw9cMzVRifyRD_uZc6eboVpVVHJjMRAxfF9h31T0VvelA5PAgmj_3yr4vJjJHn-LSvFuXS7ni225J_ax34u8_s9JPDB7QvmGI8sQN_BfAQ_kouq7ektmtGMKMAFlD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,50,,9/3/23,9/3/23,https://www.cbsnews.com/baltimore/news/rehoboth-beach-swimmer-dies-richard-boateng-maryland-man/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,51,,9/3/23,9/3/23,https://www.cnn.com/2023/09/04/us/new-jersey-shore-beach-death-rescue/index.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,52,,9/20/23,9/20/23,https://www.newburyportnews.com/news/local_news/das-office-methuen-father-drowned-trying-to-rescue-child/article_ba49384c-58a2-11ee-ae9f-a37bb3e73538.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,53,,1/27/23,1/27/23,https://www.guampdn.com/news/man-taken-to-naval-hospital-after-drowning-reported-in-talofofo-bay/article_7ef64832-9ecd-11ed-a841-838738c30089.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,54,,1/28/23,1/28/23,https://www.sacbee.com/news/california/article271820977.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,55,,9/25/23,9/25/23,https://www.kiro7.com/news/local/coast-guard-searching-woman-swept-into-ocean-popular-washington-coast-beach/RSP3JX6GHZGXZK2SLVK47FENHQ/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,56,,11/10/23,11/10/23,https://www.kron4.com/news/bay-area/victim-swept-into-ocean-at-point-reyes-dies/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,57,,11/25/23,11/25/23,https://www.live5news.com/2023/11/28/5-year-old-girl-dead-man-still-missing-after-sneaker-wave-sweeps-them-out-sea-california/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
